# 一對多字（TSCharacters）與所選首項 — pilot-fidelity 排查用
乾	干 乾	→ 干
儘	尽 侭	→ 尽
剋	克 剋	→ 克
劃	划 㓰	→ 划
噁	恶 𫫇	→ 恶
噹	当 𪠽	→ 当
夥	伙 夥	→ 伙
崙	仑 𪨧	→ 仑
廬	庐 𪪏	→ 庐
彷	彷 仿	→ 彷
徵	征 徵	→ 征
戰	战 𢧐	→ 战
擣	捣 𢭏	→ 捣
於	于 於	→ 于
瀋	沈 渖	→ 沈
瀰	弥 㳽	→ 弥
牴	牴 抵	→ 牴
畫	画 划	→ 画
瞭	瞭 了	→ 瞭
祇	祇 只	→ 祇
綵	彩 䌽	→ 彩
線	线 缐	→ 线
薹	苔 薹	→ 苔
藉	藉 借	→ 藉
蘋	苹 𬞟	→ 苹
衹	衹 只	→ 衹
襬	摆 䙓	→ 摆
覆	覆 复	→ 覆
託	托 讬	→ 托
諫	谏 𫍝	→ 谏
諮	咨 谘	→ 咨
譾	谫 𫍿	→ 谫
買	买 𧹒	→ 买
鉅	巨 钜	→ 巨
鍊	炼 链 𫔀	→ 炼
鍾	钟 锺	→ 钟
鏇	旋 镟	→ 旋
钁	镢 䦆	→ 镢
開	开 𫔭	→ 开
閒	闲 𫔮	→ 闲
阪	阪 坂	→ 阪
靦	腼 䩄	→ 腼
韝	鞲 𫖕	→ 鞲
願	愿 𫖸	→ 愿
餘	余 馀	→ 余
餬	糊 𫗫	→ 糊
餱	糇 𫗯	→ 糇
餵	喂 𫗭	→ 喂
驄	骢 𩨂	→ 骢
鵰	雕 𫛲	→ 雕
麪	面 麺	→ 面
麴	曲 麹	→ 曲
麵	面 麺	→ 面
麼	么 麽	→ 么
麽	么 麽	→ 么
齧	啮 𫜩	→ 啮
